ID,Severity,Distance(mi),City,State,Zipcode
A-7422914,2,0,Woodburn,OR,97071
A-4967227,2,0.179,City Of Industry,CA,91748-1626
A-4759486,2,0.936,Kenner,LA,70062
A-4004496,2,2.138,Ashland,VA,23005
A-7482228,2,0.099,Santaquin,UT,84655
A-2671410,2,0,Seattle,WA,98102-3423
A-7551345,2,0.127,The Dalles,OR,97058
A-450017,3,0.01,Fairfax,VA,22030
A-776221,2,0,Hempstead,NY,11550
A-9958,2,0.01,Camino,CA,95709-9579
A-193127,2,0,Grand Rapids,MI,49503-1902
A-6881520,2,0.255,Los Angeles,CA,90015
A-8021,2,0.01,Sacramento,CA,95826
A-374347,2,0.01,New York,NY,10035
A-7246988,2,0,Edwards,CA,93523
A-7363618,2,0,San Francisco,CA,94132
A-1090166,2,0,Jacksonville,FL,32257-5303
A-4035801,2,2.528,Kissimmee,FL,34758-2802
A-3226239,3,0,Jacksonville,FL,32256
A-6579948,2,0.345,Nashville,TN,37214-2418
A-599921,1,0,Henrico,VA,23231-4130
A-3767503,2,0.153,York,PA,17408
A-1506185,2,0,Belle Plaine,MN,56011
A-5986570,2,0.101,Mifflintown,PA,17059-8088
A-1451238,3,10.31999969482422,Irvington,AL,36544
A-4619030,2,0.609,Jefferson City,MT,59638
A-7377479,2,0,Corona,CA,92879
A-5786126,2,0.257,Miami,FL,33150-2001
A-4904190,2,0.7959999999999999,Rosemead,CA,91770
A-7358842,2,0.162,Houston,TX,77022
A-6934136,2,0.015,Miami,FL,33179
A-770928,3,0,Fort Sill,OK,73503
A-4976378,2,2.599,Dupont,WA,98327
A-2306122,2,0,San Rafael,CA,94903
A-360343,2,0.01,Merritt Island,FL,32952
A-882222,2,1.3799999952316284,Roosevelt,UT,84066
A-621149,1,0,Phoenix,AZ,85033-5807
A-1323714,3,0,Atlanta,GA,30340
A-5817330,2,2.519,North Hills,CA,91343
A-5723719,2,5.718999999999999,Houston,TX,77079
A-4279765,2,0.243,Bluefield,VA,24605
A-158892,2,0,Newnan,GA,30263
A-4392060,2,4.714,Baton Rouge,LA,70816
A-3247786,2,0,Del Valle,TX,78617
A-6978281,2,0,Richfield,WI,53076
A-1897943,2,0,Maricopa,AZ,85138
A-4859911,2,0.223,North Wales,PA,19454
A-2040598,2,0,Clearwater,FL,33756-5329
A-3470873,2,2.189,Weston,MA,02493
